id;transcription;collection;period;publication_type;publication_year;publication_month;publication_day;publication_name;publication_country;publication_volume;publication_number;publication_pages;publication_reviewer;archive_name;archive_url;accessed;transcribed;annotated;comments
73;"Is *A House of Pomegranates* intended for a child's book? We confess that we do not exactly know. The ultra-aestheticism of the pictures seems unsuitable for children---as also the rather 'fleshly' style of Mr. Wilde's writing. The stories are somewhat after the manner of Hans Andersen---and have pretty poetic and imaginative flights like his; but then again they wander off too often into something between a 'Sinburnian' ecstasy and the catalogue of a high art furniture dealer. Children may be very much attached to bric-à-brac (though of this we have our doubts), but the more natural among them would certainly prefer Hansel and Grethel's sugar-house to any amount of Mr. Wilde's 'rich tapestries' and 'velvet canopies'. Would they not probably yawn over the following?—

>>'The walls were hung with rich tapestries representing the Triumph of Beauty. A large press, inlaid with agate and lapis-lazuli, filled one corner, and facing the window stood a curiously wrought cabinet with lacquer panels of powdered and mosaicked gold, on which were placed some delicate goblets of Venetian glass, and a cup of dark-veined onyx’.

The Countess d'Aulnoy's charming tales, it is true, abounded in sumptuary detail, but with her it formed the stage-scenery for her dwarfsand fairies. Again, Mr. Wilde's diction seems to us hardly suitable to children. Joys are 'fierce and fiery-coloured'; the King, watching his little daughter at play, thinks of her dead and embalmed mother, and (this unpleasant suggestion reminds us of Dorian Gray) 'the odours of strange spices, spices such as embalmers use, seemed to taint---or was it fancy?---the clear morning air'. Eyes are of all kinds: 'dark wood-land eyes', 'mauve-amethyst eyes', 'eyes of bossy gold'. A young boy spends a whole night 'in noting the effect of the moonlight on a silver statue of Endymion'. But all Mr. Wilde's stories, whether intended for children or not, have a deep meaning which 'he who runs may read'. This underlying allegory is their chief beauty. 'The Young King' touches on Socialistic economics; 'The Birthday of the Infanta' has a masterly touch of pathos; while 'The Fisherman and his Soul' is perhaps the most far-reaching and most elaborate effort. In this latter there are capital descriptions of the wonders of the sea, as good as some of those in Kingsley.";A House of Pomegranates;1;Original contemporary review;1891;11;30;The Pall Mall Gazette;United Kingdom;;;;;Newspapers by Ancestry;https://www.newspapers.com ;2021-10-19;2021-10-19;;
74;Sir,---I have just been sent from London a copy of the *Pall Mall Gazette* containing a review of my book, '*A House of Pomegranates*'. The writer of this review makes a certain suggestion about my book which i beg you will allow me to correct at once. He starts by asking an extremely silly question, and that is whether or not I have written this book for the purpose of giving pleasure to the British child. Having expressed grave doubts on this subject, a subject on which I cannot conceive any fairly-educated person having any doubts at all, he proceeds, apparently quite seriously, to make the extremely limited vocabulary at the disposal of the British child the standard by which the prose of an artist is to be judged! Now in building this House of Pomegranates I had about as much intention of pleasing the British child as I had of pleasing the British public. Mamilius is as entirely delightful as Caliban is entirely detestable, but neither the standard of Mamilius nor the standard of Caliban is my standard. No artist recognizes any standard of beauty but that which is suggested by his own temperament. The artist seeks to realize in a certain material his immaterial idea of beauty, and thus to transform: an idea into an ideal. That is the way an artist makes things. That is why an artist makes things. The artist has no other object in making things. Does your reviewer imagine that Mr. Shannon, for instance, whose delicate and lovely illustrations he confesses himself quite unable to see, draws for the purpose of giving information to the blind ?---I remain, Sir, your obedient servant, Boulevard des Capucines, Paris. Oscar Wilde.;A House of Pomegranates;1;Original contemporary review;1891;12;11;The Pall Mall Gazette;United Kingdom;;;;;Newspapers by Ancestry;https://www.newspapers.com ;2021-10-19;2021-10-19;;
75;Oscar Wilde's volume of poems was scarcely as successful as his book of fanciful tales, *A House of Pomegranates*, wherein the bewildering, gorgeous word painting bears no relation to the ideas or stories.;A House of Pomegranates;1;Original contemporary review;1893;1;9;Sioux City Journal;United States of America;;;;;Newspapers by Ancestry;https://www.newspapers.com ;2021-10-19;2021-10-19;;
76;From Messrs James R. Osgood, McIlvaine & Co. we have a quaintly-bound and aesthetically-got-up book by Oscar Wilde, entitled *A House of Pomegranates*, This is the title, but the book has nothing about pomegranates. It consists of four very beautiful fairy tales----The Young King, The Birthday of the Infanta, The Fisherman and his Soul, and The Star Child. The only adjective to apply to these tales is charming. Their literary grace and poetic quality are irresistible, and the strange and wonderful designs and decorations by C. Ricketts and C. H. Shannon add a mystic and artistic interest to a beautiful book.;A House of Pomegranates;1;Original contemporary review;1891;11;26;The Glasgow Herald;United Kingdom;;;;;Newspapers by Ancestry;https://www.newspapers.com ;2021-10-19;2021-10-19;;
77;Mr. Oscar Wilde's numerous devotees will no doubt receive his new volume of allegories with enthusiasm, yet even they may perchance be puzzled to understand why he has named it '*A House of Pomegranates*'. The tales, four in number, are for the most part charmingly written, especially 'The Fisherman and his Soul', which has much of the naive grace of the old German legends. As is often the case in the author's work, there is too much elaboration of detail and an absence of the *ars celare artem*, yet the stories are, without exception, marked by poetical feeling. Far less commendable are the illustrations by Messrs. C. Ricketts and C.H. Shannon. For the most part unsatisfactory, the wood-cuts are less so than the full-page illustrations, the latter being in some instances so indistinct as to be hardly comprehensible.;A House of Pomegranates;1;Original contemporary review;1892;3;16;The Morning Post;United Kingdom;;;;;Newspapers by Ancestry;https://www.newspapers.com ;2021-10-19;2021-10-19;;
79;"Of all men who have consented to adorn the present age, at least within the realm of that Power upon whose domain the sun never sets, none have been the recipients of adulation so profound, intermingled with opprobium so venomous as that bestowed upon Oscar Wilde, That the philosophy for which Mr. Wilde stood, upon his advent into Letters, was, to the Philistine, a new and somewhat startling one, needs no argument; but to prove his sincerity and absoluteness of belief, in its principles, to those congregations of Canaille that he 'has addressed from time to time with his unique suavity, will undoubtedly fall to the good fortune of a future generation. Though Mr. Wilde has now for some years lain, among the data of historic literature, the famous breeches of the Clergy, as well as the flowing locks of Mediævalism, his apostleship to the Spirit of Beauty is not yet ended. Yesterday was produced Dorian Gray, over whose morality two hemispheres wrangled as a nine-days wonder. To-day is given us A House Pomegranates, which Mr. Wilde has stated in print as being; intended neither for the 'British child' nor for the 'British public'. Those for whom a volume so unusual in appearance is produced, will doubtless comprehend the subtlety with which its name was chosen; a subtlety which is brought to,so fine a point that, by no manner of dallying, could he who runs be enabled to read. The book is issued in square octavo, and is printed throughout on heavy, richly toned, Plate Paper, by the Chiswick Press. The decorations have entrusted to Mr. Ricketts and Mr. Shannon, who have succeeded in making the volume a notable target for many who have stationed themselves outside the bastions of Materialism, to leave unmentioned the multitudes within.

*A House of Pomegranates* consists of four allegorical tales: the first two, 'The Young King' and 'The Birthday of the Infanta', may be said to represent the Sorrow of Knowledge, tales of beauty and of pity: the third, 'The Fisherman and his Soul', shows the Power of Love, a story of beauty and strength; while the last, 'The Star Child', in degenerating to the formula of a Teutonic fairy-tale, loses the delicacy of allegorical influence, which is felt with so much power in the others. 'The Fisherman and his Soul' is the tale that will longest be remembered, and, despite the unusual trammels which Mr. Wilde has imposed upon himself, in its motif the story remains a harmony of the most beautiful and fascinating simplicity. In it will be found specimens of the most forcible and picturesque prone ever given by its author. It is nowhere overloaded with that 'gorgeousness of jade and amethyst' which at times satiates the reader in Mr. Wilde's previous work; spices and oriental herbage are used sparingly, and the winds from the seas of the Fisherman bring only odours of salt shores.

The young sea-toiler loses his heart to a mermaid, who will not accept it while he possesses the human soul. Both Priest and Merchant scorn his desire to part with this thing which as he laments, 'I cannot see it, may not touch it, I do not know it'. A young witch, however, rids him of his encumbrance, but she sends it forth without a heart. It wanders to the east and to the south, and gains knowledge and riches unknown to man, which, on returning to its master, are offered in exchange for its old habitation; but to the Fisherman his love is greater than wealth or wisdom. A third time the Soul returns, and this time with the world's pleasures; the temptation is great. What matters it? says the Fisherman to his heart. I can come back to my love: and so to see the dancing feet of an Arab girl the briny home of the Titans is deserted. The Soul leads its master through sin and crime because it has been forced to wander without a Heart; and finally, overwhelmed at the blackness of his own Soul, the Fisherman returns to the shore of his love, where 'every morning he called to the mermaid, and every noon he called to her again, and at night time he spake her name', but she never came in answer to his call. The Soul mocked him, but he continued in his supplication, until one day the black waters arose in a storm, and brought his beloved to his feet, quite dead. The Fisherman clasped the cold form in his arms, and, his heart breaking, the angry sea lapped them both 'round. The proud anathemas of the priest were theirs, and the far corner of the Fuller's field their unmarked grave. On the anniversary of their death the prelate was to address his hearers upon the wrath of God. Arrayed in pontifical robes and exhibiting the monstrance, the odour of the white flowers on the altar troubled him, and to himself all unknown he spoke long and eloquently of God's Love. Upon inquiry, after the service, he found the strange flowers had been gathered from the far corner of the Fuller's field.";A House of Pomegranates;1;Original contemporary review;1892;;;A Quarter-Yearly Review of the Liberal Arts Called The Knight Errant, Being a Magazine of Appreciation;United States of America;1;1;29–30;;HathiTrust Digital Library;https://babel.hathitrust.org/cgi/pt?id=umn.31951000742515x&seq=41;2022-01-28;2022-01-28;2025-01-17;
80;"*A House of Pomegranates* is a highly decorated quarto volume, printed on paper nearly as thick as cardboard, and profusely illustrated---in a word, it is nothing if not a table-book. Mr. Oscar Wilde's little stories are fanciful and pretty---prettier than the illustrations, some of which---several of the female figures especially---are downright ugly. As for the all but invisible full-sheet engravings---if engravings they are; for it is difficult to speak certainly of things one cannot see---they present, to our eyes, very much the aspect of ordinary prints seen through the veil of protecting tissue paper. But with all the recherche of which the volume bears such evident tokens---within and without---'the trail of the 'Zeit Gheist ' (to garble a well-worn quotation) is over it still'. However Mr. Oscar Wilde may struggle and strive after originality, he cannot emancipate himself from the dull uniformity of contemporary thought and sentiment. The best story by far, and the one which shows the smallest traces of this deadening influence, is 'The Fisherman's Soul' [sic]. 'Il y a de belles choses là dedans', as French professors say in praise of a pupil's version.";A House of Pomegranates;1;Original contemporary review;1892;4;1;The Westminster Review;United Kingdom;CXXXVII;;225–226;;HathiTrust Digital Library;https://babel.hathitrust.org/cgi/pt?id=mdp.39015030664398&seq=233;2022-01-28;2022-01-28;2025-01-21;
81;"Mr. Oscar Wilde has been good enough to explain, since the publication of his book that it was intended neither for the 'British Child' nor for the 'British Public', but for the cultured few who can appreciate its subtle charms. The same exiguous but admiring band will doubtless comprehend why a volume of allegories should be described as *A House of Pomegranates*, which we must confess is not apparent to our perverse and blunted intellect. It consists of four storeys (we mean stories), 'The Young King', 'The Birthday of the Infanta', 'The Fisherman and his Soul', and 'The Star-Child', each dedicated to a lady of Mr. Wilde's acquaintance, and all characterized by the peculiar faults and virtues of his highly artificial style. The allegory, as we have had occasion to remark on former occasions, when discussing the work of Lady Dilke and Miss Olive Schreiner in this particular field, is one of the most difficult of literary forms. In Mr. Wilde's House of Pomegranates there is too much straining after effect and too many wordy descriptions; but at the same time there is a good deal of forcible and poetic writing scattered through its pages, and its scenes have more colour and consistence than those which we criticized in 'Dreams' and 'The Shrine of Love'. Mr. Wilde resembles the modern manager who crowds his stage with aesthetic upholstery and bric-à-brac until the characters have scarcely room to walk about. Take this inventory of the contents of a chamber in the young king's palace, which reads for all the world like an extract from a catalogue at Christie's ... The adornment of these 'beautiful tales', as Mr. Wilde modestly calls them, has been entrusted to Messrs. C. Ricketts and C.H. Shannon, and for combined ugliness and obscurity it would be hard, we imagine, to beat them. The full-page illustrations are so indistinctly printed that whatever excellence they may possess is lost to view, while the grotesque black-and-white woodcuts are hideous to behold. It is, perhaps, as well that the book is not meant for the 'British Child'; for it would certainly make him scream, according to his disposition, with terror or amusement.";A House of Pomegranates;1;Original contemporary review;1892;2;6;The Athenaeum;United Kingdom;;3354;176;;HathiTrust Digital Library;https://babel.hathitrust.org/cgi/pt?id=uga1.32108057734272&seq=189;2022-02-02;2022-02-02;2025-01-17;
82;"Oscar Wilde, in violent admiration of the cover of his latest book, *A House of Pomegranates*, says aesthetically: 'The artistic beauty of the cover of my book resides in the delicate tracing, arabesques, and massing of many coral-red lines on a ground of white ivory, the colour-effect culminating in certain high gilt notes, and being made still more pleasurable by the overlapping band of moss-green cloth that holds the book together'; then he delivers this dictum: 'A thing in Nature becomes much lovelier if it reminds us of a thing in Art, but a thing in Art gains no real beauty through reminding us of a thing in Nature'.";A House of Pomegranates;1;Original contemporary review;1892;2;1;Current Opinion: A Magazine of Record and Review;United States of America;9;2;320;;HathiTrust Digital Library;https://babel.hathitrust.org/cgi/pt?id=uc1.32106019921185&seq=328;2022-02-02;2022-02-02;2025-01-17;
83;"The first of Mr. Oscar Wilde's allegories or parables, or whatever he may call them, is admirable. A young king, who is a passionate lover of the beautiful, dreams on the eve of his coronation sundry dreams in which he sees how the splendors on which his heart is set are won by the sufferings and death of thousands of unknown toilers. So struck is he by these visions, that he will have none of the glories with which it is intended to adorn him for his coronation. He goes to the church with a rude cloak of sheepskin and a leathern tunic, and a wreath of wild briar round his head; but the sunlight streaming through the painted window envelops him with such a splendor that none can refuse to honor him. The 'Birthday of the Infanta' shows the pathos of a loving soul lodged in a deformed body. As to 'The Fisherman and his Soul', we cannot exactly see the scope of it. The fisherman gets rid of his soul in order to win the love of a mermaid, and the soul sent out without a heart commits all kinds of atrocities. That is a fine idea; but the purport of the whole eludes us. Mr. Wilde writes, as usual, in a highly ornate style, often beautiful, but somewhat fatiguing.
";A House of Pomegranates;1;Original contemporary review;1892;3;19;The Spectator;United Kingdom;67;3325;408;;HathiTrust Digital Library;https://babel.hathitrust.org/cgi/pt?id=uc1.b000548512&seq=7;2022-02-02;2022-02-02;2025-01-21;
